What is SARS-CoV-2?,Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) is the name given to the 2019 novel coronavirus.
What is COVID-19?,COVID-19 is the name given to the disease associated with the virus. SARS-CoV-2 is a new strain of coronavirus that has not been previously identified in humans.
Where do coronaviruses come from?,"Cronaviruses are viruses that circulate among animals with some of them also known to infect humans. Bats are considered natural hosts of these viruses yet several other species of animals are also known to act as sources. For instance, Middle East Respiratory Syndrome Coronavirus (MERS-CoV) is transmitted to humans from camels, and Severe Acute Respiratory Syndrome Coronavirus-1 (SARS-CoV-1) is transmitted to humans from civet cats. More information on coronaviruses can be found in the ECDC fact-sheet"
Is this virus comparable to SARS or to the seasonal flu?,"The novel coronavirus detected in China in 2019 is closely related genetically to the SARS-CoV-1 virus. SARS emerged at the end of 2002 in China, and it caused more than 8 000 cases in 33 countries over a period of eight months. Around one in ten of the people who developed SARS died. As of 30 March 2020, the COVID-19 outbreak had caused over 700 000 cases worldwide since the first case was reported in China in January 2020. Of these, more than 30 000 are known to have died. See the situation updates for the latest available information. While the viruses that cause both COVID-19 and seasonal influenza are transmitted from person-to-person and may cause similar symptoms, the two viruses are very different and do not behave in the same way. ECDC estimates that between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza infection each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected. Despite the relatively low mortality rate for seasonal influenza, many people die from the disease due to the large number of people who contract it each year. The concern about COVID-19 is that, unlike influenza, there is no vaccine and no specific treatment for the disease. It also appears to be more transmissible than seasonal influenza. As it is a new virus, nobody has prior immunity, which means that the entire human population is potentially susceptible to SARS-CoV-2 infection."
What is the mode of transmission?,"While animals are believed to be the original source, the virus spread is now from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three other people."
How easily does it spread?,"The virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one meter). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection. The incubation period for COVID-19 (i.e. the time between exposure to the virus and onset of symptoms) is currently estimated to bet between one and 14 days.  We know that the virus can be transmitted when people who are infected show symptoms such as coughing. There is also some evidence suggesting that transmission can occur from a person that is infected even two days before showing symptoms; however, uncertainties remain about the effect of transmission by  non-symptomatic persons.  "
When is a person infectious?,"The infectious period may begin one to two days before symptoms appear, but people are likely most infectious during the symptomatic period, even if symptoms are mild and very non-specific. The infectious period is now estimated to last for 7-12 days in moderate cases and up to two weeks on average in severe cases."
How severe is COVID-19 infection?,"Preliminary data from the EU/EEA (from the countries with available data) show that around 20-30% of diagnosed COVID-19 cases are hospitalized and 4% have severe illness. Hospitalization rates are higher for those aged 60 years and above, and for those with other underlying health conditions."
What are the symptoms of COVID-19 infection,"Symptoms of COVID-19 vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease. Recently, anosmia – loss of the sense of smell – (and in some cases the loss of the sense of taste) have been reported as a symptom of a COVID-19 infection. There is already evidence from South Korea, China and Italy that patients with confirmed SARS-CoV-2 infection have developed anosmia/hyposmia, in some cases in the absence of any other symptoms."
Are some people more at risk than others?,"Elderly people above 70 years of age and those with underlying health conditions (e.g. hypertension, diabetes, cardiovascular disease, chronic respiratory disease and cancer) are considered to be more at risk of developing severe symptoms. Men in these groups also appear to be at a slightly higher risk than females."
Are children also at risk of infection and what is their potential role in transmission?,"Children make up a very small proportion of reported COVID-19 cases, with about 1% of all cases reported being under 10 years, and 4% aged 10-19 years. Children appear as likely to be infected as adults, but they have a much lower risk than adults of developing symptoms or severe disease. There is still some uncertainty about the extent to which asymptomatic or mildly symptomatic children transmit disease."
